iter	Passed	Remaining
0	144	144035
1	145	72807
2	147	49019
3	149	37132
4	150	30005
5	152	25216
6	153	21820
7	155	19319
8	157	17338
9	159	15759
10	160	14465
11	163	13429
12	164	12508
13	166	11744
14	169	11104
15	171	10526
16	173	10018
17	175	9566
18	177	9172
19	180	8823
20	182	8488
21	184	8183
22	186	7915
23	188	7667
24	191	7449
25	193	7235
26	195	7054
27	198	6891
28	200	6714
29	203	6579
30	205	6430
31	208	6292
32	210	6156
33	211	6017
34	213	5898
35	216	5789
36	218	5684
37	220	5594
38	223	5498
39	224	5394
40	227	5312
41	229	5229
42	231	5154
43	234	5087
44	236	5015
45	238	4945
46	240	4879
47	242	4815
48	245	4762
49	248	4724
50	250	4667
51	252	4610
52	255	4556
53	257	4505
54	259	4464
55	261	4411
56	264	4370
57	266	4328
58	268	4280
59	270	4236
60	272	4194
61	274	4150
62	276	4111
63	278	4066
64	279	4027
65	281	3984
66	283	3952
67	284	3904
68	287	3873
69	288	3838
70	290	3801
71	292	3765
72	293	3730
73	295	3694
74	296	3659
75	298	3625
76	299	3591
77	301	3559
78	302	3528
79	304	3498
80	305	3467
81	306	3436
82	308	3405
83	309	3374
84	310	3342
85	311	3313
86	312	3280
87	313	3253
88	315	3228
89	316	3202
90	317	3176
91	319	3152
92	320	3126
93	321	3102
94	323	3077
95	324	3053
96	325	3031
97	327	3010
98	328	2989
99	329	2968
100	331	2946
101	331	2920
102	333	2900
103	334	2879
104	335	2859
105	336	2838
106	337	2820
107	339	2801
108	340	2782
109	341	2763
110	342	2744
111	343	2725
112	344	2707
113	346	2690
114	347	2672
115	348	2652
116	349	2635
117	350	2619
118	351	2601
119	352	2586
120	353	2571
121	354	2554
122	355	2534
123	356	2518
124	357	2502
125	358	2486
126	359	2471
127	360	2453
128	361	2438
129	362	2423
130	363	2408
131	364	2393
132	365	2379
133	365	2365
134	366	2351
135	367	2336
136	368	2323
137	369	2309
138	370	2296
139	371	2283
140	372	2269
141	373	2255
142	374	2242
143	374	2229
144	375	2215
145	376	2202
146	377	2189
147	378	2176
148	378	2164
149	379	2152
150	380	2140
151	381	2127
152	382	2115
153	382	2103
154	383	2092
155	384	2080
156	385	2068
157	386	2057
158	386	2046
159	387	2035
160	388	2023
161	388	2011
162	389	2001
163	390	1990
164	391	1979
165	392	1969
166	392	1959
167	393	1948
168	394	1938
169	395	1928
170	395	1918
171	396	1908
172	397	1898
173	397	1888
174	398	1878
175	399	1869
176	399	1859
177	400	1850
178	401	1840
179	402	1831
180	402	1820
181	403	1811
182	403	1802
183	404	1793
184	404	1784
185	405	1775
186	406	1766
187	406	1757
188	407	1748
189	408	1739
190	408	1731
191	409	1723
192	410	1715
193	410	1706
194	411	1698
195	412	1690
196	412	1683
197	413	1675
198	414	1667
199	415	1660
200	415	1652
201	416	1644
202	416	1637
203	417	1629
204	418	1622
205	418	1614
206	419	1607
207	420	1600
208	420	1592
209	421	1585
210	422	1578
211	422	1571
212	423	1563
213	423	1556
214	424	1550
215	425	1543
216	425	1536
217	426	1529
218	427	1523
219	427	1516
220	428	1510
221	429	1503
222	429	1497
223	430	1490
224	430	1484
225	431	1477
226	432	1471
227	432	1465
228	433	1459
229	434	1453
230	434	1447
231	435	1441
232	436	1435
233	436	1429
234	437	1423
235	437	1417
236	438	1412
237	439	1406
238	439	1400
239	440	1395
240	441	1389
241	441	1384
242	442	1378
243	443	1373
244	443	1367
245	444	1362
246	445	1357
247	445	1351
248	446	1346
249	447	1341
250	447	1335
251	448	1330
252	448	1325
253	449	1320
254	450	1315
255	450	1310
256	451	1305
257	452	1300
258	452	1295
259	453	1290
260	454	1286
261	454	1281
262	455	1276
263	456	1272
264	457	1267
265	457	1263
266	458	1258
267	459	1253
268	459	1248
269	460	1244
270	460	1239
271	461	1235
272	462	1231
273	462	1226
274	463	1222
275	464	1217
276	464	1213
277	465	1208
278	466	1204
279	466	1200
280	467	1195
281	468	1191
282	468	1187
283	469	1183
284	470	1179
285	470	1175
286	471	1170
287	471	1166
288	472	1162
289	473	1158
290	473	1154
291	474	1150
292	475	1146
293	475	1142
294	476	1138
295	477	1134
296	477	1130
297	478	1126
298	479	1123
299	479	1119
300	480	1115
301	481	1111
302	481	1107
303	482	1104
304	482	1100
305	483	1096
306	484	1093
307	484	1089
308	485	1085
309	486	1081
310	486	1078
311	487	1074
312	487	1071
313	488	1067
314	489	1064
315	489	1060
316	490	1057
317	491	1053
318	491	1049
319	492	1046
320	493	1042
321	493	1039
322	494	1036
323	494	1032
324	495	1029
325	496	1026
326	496	1022
327	497	1019
328	498	1016
329	498	1012
330	499	1009
331	500	1006
332	501	1003
333	501	1000
334	502	997
335	503	994
336	503	991
337	504	987
338	505	984
339	505	981
340	506	978
341	507	975
342	507	972
343	508	969
344	508	966
345	509	963
346	510	960
347	510	957
348	511	954
349	512	951
350	513	948
351	513	946
352	514	943
353	515	940
354	516	938
355	517	935
356	517	932
357	518	930
358	519	927
359	520	924
360	521	922
361	521	919
362	522	917
363	523	914
364	524	912
365	525	910
366	526	907
367	527	905
368	527	902
369	528	900
370	529	897
371	530	894
372	530	892
373	531	890
374	532	887
375	533	885
376	534	882
377	534	880
378	535	877
379	536	875
380	537	872
381	537	870
382	538	867
383	539	865
384	540	862
385	540	860
386	541	857
387	542	855
388	543	853
389	543	850
390	544	848
391	545	846
392	546	844
393	547	841
394	548	839
395	548	837
396	549	834
397	550	832
398	550	829
399	551	827
400	552	825
401	552	822
402	553	820
403	554	817
404	555	815
405	556	813
406	556	811
407	557	809
408	558	806
409	559	804
410	559	802
411	560	799
412	561	797
413	562	795
414	562	793
415	563	791
416	564	789
417	565	787
418	565	784
419	566	782
420	567	780
421	568	778
422	568	776
423	569	774
424	570	771
425	571	769
426	571	767
427	572	765
428	573	763
429	573	760
430	574	758
431	575	756
432	576	754
433	577	752
434	577	750
435	578	748
436	579	746
437	580	744
438	580	742
439	581	740
440	582	738
441	583	736
442	584	735
443	585	733
444	586	731
445	587	729
446	587	727
447	588	725
448	589	723
449	590	721
450	591	719
451	591	717
452	592	715
453	593	713
454	594	711
455	594	709
456	595	707
457	596	705
458	596	703
459	597	701
460	598	699
461	599	697
462	599	695
463	600	693
464	601	691
465	602	689
466	602	688
467	603	686
468	604	684
469	605	682
470	606	681
471	607	679
472	608	677
473	608	675
474	609	673
475	610	672
476	611	670
477	612	668
478	612	666
479	613	664
480	614	662
481	614	660
482	615	658
483	616	657
484	616	655
485	617	653
486	618	651
487	618	649
488	619	647
489	620	646
490	621	644
491	622	642
492	622	640
493	623	638
494	624	636
495	624	634
496	625	632
497	626	631
498	626	629
499	627	627
500	627	625
501	628	623
502	629	621
503	629	619
504	630	617
505	631	616
506	631	614
507	632	612
508	633	610
509	633	608
510	634	606
511	634	605
512	635	603
513	636	601
514	636	599
515	637	598
516	638	596
517	638	594
518	639	592
519	640	591
520	641	589
521	641	587
522	642	585
523	643	584
524	643	582
525	644	580
526	645	578
527	645	577
528	646	575
529	647	573
530	647	572
531	648	570
532	649	568
533	649	567
534	650	565
535	651	563
536	652	562
537	652	560
538	653	558
539	654	557
540	654	555
541	655	553
542	656	552
543	656	550
544	657	549
545	658	547
546	658	545
547	659	544
548	660	542
549	661	540
550	661	539
551	662	537
552	662	535
553	663	534
554	664	532
555	664	531
556	665	529
557	666	527
558	667	526
559	667	524
560	668	523
561	669	521
562	670	520
563	670	518
564	671	517
565	672	515
566	673	514
567	674	512
568	674	511
569	675	509
570	676	508
571	676	506
572	677	505
573	678	503
574	679	501
575	679	500
576	680	498
577	681	497
578	682	495
579	682	494
580	683	492
581	684	491
582	685	489
583	685	488
584	686	487
585	687	485
586	687	484
587	688	482
588	689	481
589	690	479
590	690	478
591	691	476
592	692	475
593	692	473
594	693	472
595	694	470
596	695	469
597	695	467
598	696	466
599	697	464
600	697	463
601	698	461
602	699	460
603	700	459
604	700	457
605	701	456
606	702	454
607	703	453
608	703	451
609	704	450
610	705	448
611	705	447
612	706	446
613	707	444
614	707	443
615	708	441
616	709	440
617	710	439
618	711	437
619	711	436
620	712	434
621	713	433
622	714	432
623	714	430
624	715	429
625	716	427
626	716	426
627	717	424
628	718	423
629	718	422
630	719	420
631	720	419
632	720	417
633	721	416
634	722	415
635	722	413
636	723	412
637	724	410
638	724	409
639	725	408
640	726	406
641	727	405
642	727	404
643	728	402
644	729	401
645	729	400
646	730	398
647	731	397
648	732	395
649	732	394
650	733	393
651	734	391
652	734	390
653	735	389
654	736	387
655	736	386
656	737	385
657	738	383
658	739	382
659	740	381
660	740	379
661	741	378
662	742	377
663	743	375
664	743	374
665	744	373
666	745	371
667	745	370
668	746	369
669	747	368
670	747	366
671	748	365
672	749	364
673	750	362
674	750	361
675	751	360
676	752	358
677	752	357
678	753	356
679	754	355
680	755	353
681	756	352
682	756	351
683	757	350
684	758	348
685	758	347
686	759	346
687	760	344
688	761	343
689	761	342
690	762	341
691	763	339
692	764	338
693	764	337
694	765	336
695	766	334
696	767	333
697	767	332
698	768	331
699	769	329
700	770	328
701	771	327
702	771	326
703	772	324
704	773	323
705	773	322
706	774	320
707	775	319
708	775	318
709	776	317
710	777	315
711	778	314
712	778	313
713	779	312
714	780	310
715	780	309
716	781	308
717	782	307
718	783	306
719	784	304
720	784	303
